tahun;kd_desa;fitur_1;fitur_2;fitur_3;fitur_4;fitur_5;fitur_6;idm
2022;1902022010;6975000;396428997;11072500;132189750;281046025;0;0.696
2022;1902022011;11822500;459561500;20830500;144106000;289815000;0;0.83
2022;1902022012;0;294406260;69414862;189834000;278400000;0;0.8429
2022;1902032001;28525500;296281000;11696000;161288000;310610000;0;0.8233
2022;1902032002;0;268821480;6066575;219753500;252000000;0;0.8049
2022;1902032003;26541410;394929635;0;184602300;172800000;0;0.8557
2022;1902032004;0;448460438;33922000;163455000;396000000;0;0.641
2022;1902042001;9297500;390602520;0;165318000;356925000;0;0.8951
2022;1902042002;12003000;303848621;68098060;95644400;327600000;0;0.7846
2022;1902042003;4078500;348558050;15740000;194070000;352800000;0;0.8029
2022;1902042004;20926500;460987500;25748650;102232000;406800000;0;0.8194
2022;1902042005;13097000;388284750;14738000;238872500;536400000;0;0.8137
2022;1902042006;79686305;224718639;70489560;216640000;375053000;0;0.7543
2022;1902042007;6844000;489708284;6240000;304430375;536400000;0;0.7703
